Script#2				
*	BG	City		
*	BGM	Script_Solve	
blank	-	-	황궁 별관의 포위망을 뚫자, 바깥의 경계는 허술했다.^포위망이 뚫릴 것이라고는 가정하지 않았던 것 같다.	
lucius	-	루키어스	핀토스 공작, 무사하십니까.	
reina	-	레이나	그런대로요.	
reina	-	레이나	아까는 사람 취급도 안 하시더니, 지금은 걱정씩이나 해 주시네요?	
lucius	-	루키어스	……일시적이라 한들 동맹은 동맹.^당신이 어떤 사람이든, 지금 한편인 이상 안위에 주의를 기울이는 것은 당연합니다.	
reina	-	레이나	(참 어이없는 원칙주의자시군……. 더는 볼 일도 없겠지만.)	
reina	-	레이나	그 동맹도 이제 끝났지만 말이죠.^어쨌든 협조해 줘서 고마웠어요.	
lucius	-	루키어스	어디로 갈 생각입니까?	
reina	-	레이나	그걸 제가 알려드릴 이유는 없지요.	
reina	-	레이나	(……그래도, 나름의 성의 표시는 해 두도록 할까.)	
reina	-	레이나	그 대신, ‘동맹’으로서 다른 걸 하나 알려드리겠어요.	
*	Glos	Etc	4	1
reina	-	레이나	<color=red>3년 전의 일</color>, 그건 고의가 아니었어요.	
reina	-	레이나	하지만 제대로 관리하지 못한 건 제가 부족한 탓이기도 하지요.^핀토스 가문의 대표로서, 사과드립니다.	
lucius	-	루키어스	그건 대체 무슨 뜻…….	
reina	-	레이나	그럼 이만.	
*	Script	Scene#3-1		
