,N0205,N0205,N0205,N0205,N0205,N0205,N0205,N0205,N0205,N0205,N0205,N0205,N0205,N0205,N0205,N0205,
,N0205,N0205,N0205,N0205,N0205,N0205,N0205,N0205,N0205,N0205,N0205,N0205,N0205,N0205,N0205,N0205,
,,N0205,N0204,N0203,N0202,N0201,N0200,,,N0200,N0201,N0202,N0203,N0204,N0205,,
,,,,,N0200,N0200,N0200,N0200,N0200,N0200,N0200,N0200,,,,,
,,,,N0201,N0200,N0200,N0200,N0200,N0200,N0200,N0200,N0200,N0201,,,,
,P0100,P0100,N0200,N0200,N0200,N0200,N0100,N0100,N0100,N0100,N0200,N0200,N0200,N0200,P0100,P0100,
P0100,P0100,P0100,N0200,N0200,N0200,N0100,N0100,N0100,N0100,N0100,N0100,N0200,N0200,N0200,P0100,P0100,P0100
P0100,P0100,P0100,N0200,N0200,N0200,N0100,N0100,P0201,P0201,N0100,N0100,N0200,N0200,N0200,P0100,P0100,P0100
P0100,P0100,P0100,N0200,N0200,N0200,N0100,N0100,N0100,N0100,N0100,N0100,N0200,N0200,N0200,P0100,P0100,P0100
,P0100,P0100,N0200,N0200,N0200,N0200,N0100,N0100,N0100,N0100,N0200,N0200,N0200,N0200,P0100,P0100,
,,,N0200,N0200,N0200,N0201,N0201,N0201,N0201,N0201,N0201,N0200,N0200,N0200,,,
,,,N0200,N0200,N0200,N0200,N0201,N0201,N0201,N0201,N0200,N0200,N0200,N0200,,,
,,,,N0200,N0200,N0200,N0200,N0200,N0200,N0200,N0200,N0200,N0200,,,,
,,,,,,,N0201,N0201,N0201,N0201,,,,,,,
,,,,,,,N0201,N0201,N0201,N0201,,,,,,,
,,,,,,,N0200,N0200,N0200,N0200,,,,,,,
