*	bg	Forest
*	bgm	Script_Normal
blank	-	-	마법진의 꼭지점 위치에 있는 빈 칸에 새로운 에테르 수정을 끼우자 빛을 발하며 작동하기 시작했다. 레이나는 천천히 신호를 입력하기 시작했다. 길게, 짧게를 조합하여 한 글자. 한 글자씩.
blank	-	-	"레이나 핀토스입니다. 안톤 주, 텔루르 산 중앙 계곡에서......"
blank	-	-	연회장을 빠져나간 이들에게만 전달할 수 있으면 좋았겠지만 그럴 수는 없는 일이었으니, 목걸이를 회수한 아스터에게 알려지는 것을 각오하고 일부러 조금 떨어진 위치로 지정했다.
reina	-	레이나	(기사들에게조차 비밀인 기록 보관소를 구체적인 위치까지 황제에게 그대로 노출할 수는 없지. 이 정도면 쉽게 찾아낼 수는 없을 거야. 텔루르 산이라는 사실을 알리는 것도 별로 내키지는 않지만...... 지금은 이만한 위험도 감당하지 안으면 할 수 있는 게 없겠지.)
sisterna	-	시스터나	오오오! 이만한 게 진짜로 작동하다니! 굉장해!
reina	-	레이나	이제 핀토스 저택으로 갈 거에요.
sisterna	-	시스터나	음? 거기서 도망쳐서 여기로 온 거라고 하지 않았나요?
reina	-	레이나	제 대략적인 위치를 알았다면 오히려 이쪽에 관심이 쏠려서 저택과 모나폴리 주변의 경계는 한층 누그려졌겠죠. 가서 확인해봐야 할 것도 있고.
sisterna	-	시스터나	흐음......
reina	-	레이나	게다가 여기서 죽치고 있을 순 없으니 어딘가로 이동해야하는데, 거기까지 빈손으로 굶으면서 갈 순 없잖아요? 저택에 보물창고 같은 건 따로 없지만, 찾으면 웬만큼 챙길 순 있을 테니까.
blank	-	-	조난을 당해 꽤나 고생했던 시스터나는 뭔가를 챙기겠다는 말에 설득되었는지. 납득한 표정으로 고개를 끄덕이고는 웃에 붙은 먼지를 털며 일어섰다.
sisterna	-	시스터나	그거 좋죠! 없는 돈 짜내서 말도 사고 대륙 횡단 여행비까지 감당하려니, 정말 누울 자리밖에 없는 싸구려 여관에서 빵 하나로 때우는 여행도 슬슬 지겨웠던 참인데!
reina	-	레이나	(대체 어떤 삶을 살아온 거야......?)
reina	-	레이나	잠깐. 말이라고? 그건 어디에 있죠?
sisterna	-	시스터나	얼마 전 묵었던 여관에서 도둑맞는 바람에 말이죠. 주인은 배 째라고 나오는데 말했다시피 제가 불법 체류자라서..... 흑흑.
reina	-	레이나	......슬슬 출발하죠.
blank	-	-	레이나가 들어올 때 했던 동작을 반대로 실행하자. 다시 한 번 땅이 흔들리며 입구가 아래로 내려가더니 사라졌다.
blank	-	-	그것을 보면서 다시 한 번 놀라워하던 시스터나는 정신을 차리고 다급히 레이나의 뒷모습을 쫓아가는 것이었다.
*	load_title
