*	bg	MeetingRoom
*	bgm	Script_Normal
blank	-	-	제국력 518년 1월 16일, 유니티 제국 황궁
blank	-	-	아스터 특수작전과장 노엘은 출근하자마자 직속상관 파이선의 부름에 그의 집무실을 찾아갔다.
blank	-	-	(효과음 : 문소리)
noel	-	노엘	부르셨습니까.
python	-	파이선	노엘. 그대는 제국을 위해 무엇이든 할 수 있는가?
blank	-	-	아무런 도입부 없이 선문답 같은 질문. 자신을 따로 부른 이유는 평범한 일이 아니라는 사실을 직감했다.
noel	-	노엘	물론입니다. 그것이 제국민들을 위한 일이라면 기꺼이 한 몸 바쳐서라도.
python	-	파이선	정보과의 보고서는 읽어 보았겠지?
blank	-	-	자신에게 오는 보고서라면 한두 개가 아니다. 하지만 지금 그 중에 어떤 것을 가리키는지는 자명했다. 그만큼 중대한 일이었으니까.
python	-	파이선	검의 대가 하스켈, 그리고 마법의 대가 핀토스. 두 가문은 사이가 상당히 나쁘다고 알려져 있다.
python	-	파이선	하지만 그것은 겉으로 보이는 모습일 뿐이지. 두 가문은 비밀리에 동맹을 맺고 제위를 탈취하려는 수작을 부리고 있다.
blank	-	-	오백 년 동안 개국공신으로서 많은 것을 누려온 그들이 반역을, 그것도 전설로만 전해져 내려오던 최초의 황제를 이용해서 도모했다는 것은 쉽게 믿기 힘든 이야기였다.
blank	-	-	하지만 하스켈이라면 몰라도, 인간성을 저버린 핀토스라면 능히 자신들의 야심을 위해 그런 짓을 할 만한 자들이기도 했다.
noel	-	노엘	......그렇다면 제가 해야 할 일은 무엇입니까.
python	-	파이선	황제 폐하께서 이번 태양의 날에 그들 모두를 연회에 초대하셨으니, 그 다음은 집행부의 능력에 맡기겠다.
python	-	파이선	반역자들에게 줄 것은 오로지 죽음뿐. 제국의 별, 유니티 최정예 전사들의 힘을 보여주도록.
noel	-	노엘	죽음, 입니까?
python	-	파이선	황제 폐하의 뜻이다. 살려 두기에는 너무 위험하니, 기회가 왔을 때 완전히 정리하고 싶어하시니까.
python	-	파이선	어차피 체포하더라도 처형은 확실하다. 쓸데 없이 집행관과 요원들을 위험에 노출시키지 말도록.
*	load_script	Scene#0-3
