Index	Name	NameInCode	Side	InitPosotionX	InitPositionY	InitDirection	BaseHealth	BasePower	BaseDefense	BaseResistance	BaseAgility	UnitClass	Element	Celestial	IsObject	IsNamed	IsKillable	
1	수인족 전사	furryWarrior	Enemy	7	9	LeftDown	405	50	50	32	55	Melee	Plant	Moon	false	false	true	0
2	수인족 전사	furryWarrior	Enemy	6	8	LeftDown	405	50	50	32	55	Melee	Plant	Moon	false	false	true	0
3	수인족 전사	furryWarrior	Enemy	8	8	LeftDown	405	50	50	32	55	Melee	Plant	Moon	false	false	true	0
4	수인족 전사	furryWarrior	Enemy	4	7	LeftDown	405	50	50	32	55	Melee	Plant	Moon	false	false	true	0
5	수인족 전사	furryWarrior	Enemy	10	7	LeftDown	405	50	50	32	55	Melee	Plant	Moon	false	false	true	0
6	수인족 전사	furryWarrior	Enemy	5	5	LeftDown	405	50	50	32	55	Melee	Plant	Moon	false	false	true	0
7	수인족 전사	furryWarrior	Enemy	9	5	LeftDown	405	50	50	32	55	Melee	Plant	Moon	false	false	true	0
8	수인족 장로	furryElder	Enemy	7	6	LeftDown	405	50	50	32	55	Magic	Plant	Sun	false	true	false	0
9	PCcuri	curi	Ally	8	20	LeftDown	0	0	0	0	0	None	None	None	false	false	false	0
10	PCkarldrich	karldrich	Ally	6	20	LeftDown	0	0	0	0	0	None	None	None	false	false	false	0
11	PClucius	lucius	Ally	7	19	LeftDown	0	0	0	0	0	None	None	None	false	false	false	0
