reina,-,레이나,카샤스티 양! 괜찮아요?,
kashyasti,-,카샤스티,"(놀람)어, 어떻게 여길......",
reina,-,레이나,"(미소)기사로 인정한 이상, 외부의 위협으로부터 지키는 것도 핀토스의 의무죠.",
kashyasti,-,카샤스티,(기본)......의무요?,
reina,-,레이나,"더 이상 가문에서 지원해줄 수 없으니 기사 관계는 끝이지만, 개인으로서의 카샤스티 양에게 물어볼게요. 우리 핀토스 가문을 재건하려고 하는데, 함께하지 않겠어요?",
kashyasti,-,카샤스티,(가문...... 인가. 적어도 이제 나를 러브레이스라고 생각하는 사람은 없겠구나. 이제야 나는 진정한 내가 될 수 있는 걸까?),
kashyasti,-,카샤스티,좋아요. 레이나 경은 저를 얼마든지 도와줬으니까. 하지만......,
blank,-,-,잠시 동안 머뭇거리던 카샤스티는 시선을 돌리며 이야기를 꺼냈다.,
kashyasti,-,카샤스티,"(한숨)레이나 경도, 이젠 하고 싶은 일을 찾아도 되지 않을까요?",
yeong,-,영,하고 싶은 일......?,
reina,-,레이나,"제가 가장 하고 싶은 게 핀토스의 대표자로서 부끄럽지 않을 만큼 훌륭하게 역할을 수행하는 거예요. 당연하잖아요? 그리고 경은 무슨, 이젠 작위도 없는데요 뭘. 편하게 레이나라고 불러요.",
sisterna,-,시스터나,"앗, 그럼 나도!",
kashyasti,-,카샤스티,이분은 누구죠?,
reina,-,레이나,......날 도와주고 있는 사람. 의심은 안 해도 될 거야.,
eren,-,에렌,"근데 어쩌다 잡힌 거야? 황궁에서는 우릴 ㅈ구이는 게 목적이었던 것 같은데, 잡히고도 살아있었다니.",
kashyasti,-,카샤스티,"황궁에서는 빠져나갔어요. 믿을 수 없는 일이지만, 우릴 공격하던 사람들 중 누군가가 도와줬거든요. 분명 같은 제복이었는데.",
luvericha,-,루베리카,네?,
reina,-,레이나,그런데 어쩌다가......?,
kashyasti,-,카샤스티,집으로 돌아간 게 실수였어. 비록 가문을 떠나긴 했지만 가족으로서의 정은 남아있을 줄 알았는데.,
eren,-,에렌,"흥, 더 이상 안 들어도 무슨 일이 있었는지 뻔하네. 네가 후계자를 그만둔 시점에서 그냥 돌아가도 쓸모가 없는데, 역적이라는 누명까지 쓰고 돌아가면 반갑다고 맞아줄 줄 알았나? 당연히 얼씨구나 하고 붙잡아서 넘겨 버리지. 바보네!",
blank,-,-,"에렌이 아무렇지도 않은 얼굴로 비웃자, 뒤에서 어깨에 손을 올리며 제지하는 사람이 있었다.",
luvericha,-,루베리카,그만해.,
luvericha,-,루베리카,"(비록 핀토스의 인물이더라도, 누구보다 의지하던 사람이 자신을 부정한다는 게 어떤 기분인지는...... 알 수 있었으니까.)",
kashyasti,-,카샤스티,......,
blank,-,-,"잠시 동안의 정적이 흐른 후, 시스터나가 갑자기 소리쳤다.",
sisterna,-,시스터나,(당황)앗! 오키드가 없잖아!,
reina,-,레이나,"이럴 수가, 싸우는 사이에 겁을 먹고 도망친 건가?",
eren,-,에렌,"어쨌든 아직 꽤 남았는데 계속 걸어서 갈 순 없으니, 마차라도 구해 봐야겠네.",
yeong,-,영,,
