Script#5				
*	BG	Forest		
*	BGM	Script_Prelude		
blank	-	-	<color=yellow>제국력 518년 1월 20일, 콜로헤임 동부 숲지대</color>	
yeong	-	영	(내가 쓸데없는 짓을 하는 걸까?)	
blank	-	-	연회장에서 목격한 광경은 보고도 믿기 힘들었다.	
triana	-	트리아나	…….	
blank	-	-	평소 저택에서 지낼 때는 방에만 틀어박혀 있던 저 녀석은, 위험에 처하자 가만히 선 채로 주변 적들을 전부 쓰러뜨렸다.	
blank	-	-	덕분에 포위망에 빈틈이 생겨, 지금 내가 이렇게 살아 있는 것이다.	
yeong	-	영	(어떻게든 데리고 나오긴 했지만…….)	
blank	-	-	다시 트리아나의 팔을 붙잡고 앞으로 잡아당겼다.	
blank	-	-	녀석은 불규칙적인 보폭으로 이끌려 왔다.^그저 쓰러지지 않기 위해 성의없이 내딛는 걸음.	
yeong	-	영	(상황에 대한 자각이 전혀 없나. 이래서야 전혀 쓸모가 없을지도.)	
yeong	-	영	정신 차려. 우린 지금 도망자 신세야.	
*	Glos	Group	5	1
yeong	-	영	정말 갈 곳이 없더라도, 일단 유니티 제국은 위험하니 벗어나야 해.^그러려면 자바든 <color=red>루아</color>든 일단 동쪽으로 가야겠지.	
blank	-	-	아까부터 계속 말을 걸었지만, 반응은 없다.	
yeong	-	영	듣고 있는 거야?	
*	BGM	Script_Tense		
blank	-	-	순간 트리아나의 오른팔에서 불그스름한 빛무리가 뿜어져 나왔다.^연회장에서 본 것과 같은 형태.	
blank	-	-	붉은 빛은 근처의 풀숲으로 날아갔다.	
*	SE	Bomb		
blank	-	-	숲이 폭발하고 그 뒤에 있던 적들이 모습을 드러냈다.	
yeong	-	영	……!	
blank	-	-	나는 차고 있던 도검을 신속히 뽑아 경계 태세를 취했다.	
blank	-	-	동시에 사방에서 제복 차림이 나타나 우리를 에워쌌다.	
agent	-	아스터 요원	흥, 제법이군. 하지만 이번엔 도망치지 못할 거다.	
json	-	제이선	……시작해.	
blank	-	-	지휘자가 힘없는 목소리로 명령하자, 적들은 일제히 이쪽으로 달려들었다.	
*	Battle	3
