information,-,안내원,누구시죠? 여기는 확인되지 않은 사람들이 함부로 들어가면......,
blank,-,-,"시스터나를 쫓아냈던 안내원이 중앙탑으로 진입하려는 일행을 막아섰지만, 그의 말은 끝까지 이어지지 못하고 심장을 찌른 칼날에 막히고 말았다.",
,,,,
yeong,-,영,(위협)비켜.,
information,-,안내원,커헉!,
luvericha,-,루베리카,"(놀람)어, 어째서...... 우린 연구를 방해하러 온 것뿐이잖아요!",
yeong,-,영,"파수꾼은 큰 소리를 내기 전에 없애는 게 침투할 때의 상식입니다. 게다가 우린 얼굴이 알려진 도망자 신세죠. 발각되고 시간이 끌리면 얼마나 귀찮아질지 상상조차 안 되는데, 당연한 선택 아닌가요?",
luvericha,-,루베리카,(당황)말도 안 돼요! 자료나 결과물을 없애는 게 목적이라면 그 사람은 상관없잖아요!,
yeong,-,영,시끄러워지면 안에서 대비할 시간을 주게 됩니다. 왜 유리함을 스스로 포기하려는 건지 이해할 수 없군요. ,
luvericha,-,루베리카,(분노)어떻게 아무렇지도 않게 그런 말을......!,
yeong,-,영,(찡그림)......나라고 좋아서 이렇게 하는 줄 알아요?,
reina,-,레이나,,
