blank,-,-,"치료가 진행되는 동안 밖에서 기다리던 세 사람, 특히 레이나와 에렌은 어느 정도 감정이 가라앉았는지 지금까지 있었던 일에 대해 이야기하며 각자의 정보를 교환하고 있었다.",
eren,-,에렌,"이런 곳이 다 있었다니, 놀랍군.",
reina,-,레이나,저도 대표가 되고 나서야 알게 됐으니까요.,
sisterna,-,시스터나,어쨌든 드디어 인원수가 제법 늘었군요. 이제 어떻게 할 생각이죠?,
reina,-,레이나,"......전 핀토스의 가주로서 주어진 의무를 다해야만 해요. 그러기 위해서 황제와 맞서는 한이 있더라도, 어떤 시련이 있더라도 나아가야만 하겠죠.",
,,,,
blank,-,-,"레이나가 앞으로의 계획을 설명하기 전 핀토스의 가주로서 각오를 다지고 있을 무렵, 기록 보관소의 문이 열리고 루베리카가 나왔다.",
luvericha,-,루베리카,......들어와요.,
blank,-,-,"그녀의 얼굴에는 기괴한 형태의 문양이 희미하게 빛나고 있었지만, 잠시 후 아무 일도 없었던 것처럼 사라졌다.",
sisterna,-,시스터나,상태는 좀 어때요?,
luvericha,-,루베리카,"위험한 고비는 넘겼지만, 아직 제대로 움직이기는 힘들 거예요. 이 이상은 어떻게 할 수 없으니 시간을 두고 기다려보는 수밖에.",
blank,-,-,"그토록 적대하던 핀토스의 인물을 죽음의 문턱에서 되돌려놓고서 담담하게 말하는 그녀의 얼굴을 빤히 바라보던 에렌은, 감사의 말치고는 성의가 많이 부족해 보이는 표현으로 대신하고 말았다.",
eren,-,에렌,일단은 다행이군.,
reina,-,레이나,......수고 많았어요. 일단 들어가서 이야기하죠.,
,,,,
yeong,-,영,"으음, 여기가 어디......",
reina,-,레이나,정신이 들어요? 몸 상태는 좀 어때요?,
yeong,-,영,덕분에 괜찮습니다. 감사합니다.,
reina,-,레이나,"아뇨, 제가 한 건 없어요. 도와준 건 에렌 님이고, 살려낸 건......",
eren,-,에렌,저쪽.,
blank,-,-,"에렌의 지목을 받은 그녀는, 자신의 자비를 크게 드러내고 싶지는 않았는지 가볍게 고개를 숙이는 것으로 소개를 대신했다.",
luvericha,-,루베리카,......,
yeong,-,영,"감사의 말씀 드립니다. ......잠깐, 연회장에서 본 적 있는 얼굴이군요. 핀토스 저택의 인물은 아니니, 하스켈?",
sisterna,-,시스터나,"(들리는 말로는 서로 원수지간이라더니, 꼭 그렇지만도 않은가 본데?)",
luvericha,-,루베리카,"......그럼 본론으로 들어가도록 하죠. 저는 제 오빠, 루시안 하스켈의 죽음에 대한 진실을 알고 싶어요. 연회 다음날 황제가 꽤나 놀라운 내용을 공표했던데요?",
sisterna,-,시스터나,"어, 그거 전에 봤던 신문에 있던 내용 아닌가?",
,,,,
