blank,-,-,"느닷없이 등장해 적에게 상당한 타격을 준 공격이 날아온 방향으로 고개를 돌렸을 때, 그곳에는 두 사람의 모습이 있었다.",
eren,-,에렌,"여어, 오랜만. 그쪽은 저택에서는 못 보던 얼굴인데?",
reina,-,레이나,"(미소)아, 에렌 님!",
eren,-,에렌,"(미소)운이 좋았다고 생각하라고? 신호를 하루만 늦게 보냈더라면, 이미 내가 그 목걸이를 바다에 던져버린 후였을 테니까.",
reina,-,레이나,(당황)그 옆은...... 루베리카 하스켈? 어떻게 여기에?,
luvericha,-,루베리카,만나서 다행이구나. 그럼 난 이만. ......바른 길로 성장하길 바랄게. 안녕.,
eren,-,에렌,잠깐만. 날 재미있게 했으니 보답을 하나 해주지.,
luvericha,-,루베리카,......?,
eren,-,에렌,"(기본)여기엔 너와 나를 빼고도 그날 황궁에 있던 사람이 적어도 여섯 명 있어. 그쪽의 검은머리 여자는 잘 모르겠지만, 레이나와 영, 그리고 저기 넷까지.",
eren,-,에렌,한 명쯤은 하스켈 사람들에 대한 정보를 알고 있을 법하지 않나?,
sepia,-,세피아,"터무늬없군요, 우리가 그걸 알려줄 거라고 생각하나요?",
eren,-,에렌,붙잡고 이것저것 하나씩 자르면서 물어보면 생각이 달라지겠지 뭐. 아니면 네 명이나 있는데 하나쯤은 본보기로 없애버려도 되겠네.,
reina,-,레이나,(공포)헉......,
eins,-,아인츠,"(위협)흥, 어린놈이 건방지군. 그렇게 자신 있으면 일대일로 붙어볼 테냐?",
eren,-,에렌,"훗, 자신이야 차고 넘치지만 굳이 유리한 상황을 버릴 정도로 멍청하진 않아서 말이지.",
sepia,-,세피아,새로 등장한 상대의 전력은 예상이 어렵습니다. 공격이 가능한 것으로 보아 최소한의 전투능력은 갖춘 것 같지만......,
darkenir,-,달케니르,"여자 쪽은 몰라도 저 꼬마는 절대 최소한이 아니다. 방금 공격에서 느껴진 위력, 그리고 그만한 숫자를 쏟아낸 것, 그 전에 움직일 수 없게 만들어 회피를 봉쇄하는 연꼐까지 혼자서 해냈다면...... 저 나이 대라고는 믿기 힘든 수준, 아니, 나이와 상관없이 대단한 축에 들 것이야.",
sepia,-,세피아,"그렇다면 상당한 위기, 퇴각이 유력합니다. 지형이 복잡하지만 최대한 흩어진다면 한 명이라도 더...... 아니, 수비에 특화된 제가 남아서 추격을 저지하는 게 합리적이겠군요. 그렇게 하면 다른 분들은 안전하게 빠져나갈 수 있을 겁니다.",
darkenir,-,달케니르,(찡그림)......정론이다. 하지만 고결한 스텔라리엔의 일족에 속한 자로서 타인을 방패삼아 도망칠 수는 없지.,
eren,-,에렌,"쳐들어올 땐 마음대로였겠지만 도망갈 땐 아니란다. 레이나. 영. 그리고 그 옆에 누군지는 모르겠지만. 다들 준비는 됐지? 아참, 물론 너도.",
blank,-,-,"에렌의 기습 질문을 받은 루베리카는 잠시 망설이는가 싶더니, 눈을 꼭 감고 가볍게 고개를 끄덕였다.",
luvericha,-,루베리카,"(미안해. 나, 오빠가 그렇게 된 이유를 꼭 알고 싶어. 그 때까지만......!)",
eins,-,아인츠,"(미소)나 아인츠, 지금까지 수많은 전장을 헤치며 항상 이겼던 것은 아니지만 나보다 약한 동료를 일부러 버리고 살아간 적은 한 번도 없다. 어차피 지금의 삶은 덤 같은 인생, 그런 것에 연연할 이유는 없지.",
grenev,-,그레네브,(위협)하! 누가 이길지는 해봐야 아는 거 아니겠어? 지면 죽으면 되는 거고! 어차피 누구나 죽는 건데 좀 빨리 갈 수도 있는 거지! 죽어라앗!,
