*	bg	PartyRoom
*	bgm	Script_Normal
blank	-	-	제국력 518년 1월 4일, 핀토스 저택
blank	-	-	거대한 탁자에는 평소보다도 더욱 정성을 쏟은 듯한 요리들이 늘어서 있고, 그 주변을 십여 명의 사람들이 둘러앉아 있었다.
blank	-	-	가문의 대표인 핀토스 경이 가문의 귀족들과 우리 기사들까지 모두 모이는 저녁 만찬을 요청했다는 전언을 듣고 들어온 참이었다.
aron	-	아론	무슨 일로 우릴 불러 모은 거지? 대수롭지 않은 일이라면 난 돌아가겠어.
kashyasty	-	카샤스티	(항상 그렇듯 오늘도 저 사람은 비협조적이군.)
blank	-	-	전 대표의 아들인 자기 대신 조카인 핀토스 경이 자리를 이어받은 것에 불만을 가지고 있다고 들은 적이 있다.
kashyasty	-	카샤스티	(......세상에는 참 다양한 사람이 있구나.)
reina	-	레이나	황제로부터 연회 초대장이 왔어.
blank	-	-	핀토스 경은 초청장을 꺼내 모두에게 보여주며 이야기를 계속했다.
reina	-	레이나	평소에 하던 귀족회 전체의 신년회가 아니라, 초청받은 건 하스켈과 핀토스 두 가문뿐이더군요.
wein	-	웨인	하스켈 가가 우리를 적대한 것이 하루 이틀 일도 아니고, 어차피 그쪽이나 우리나 둘 다 황제 폐하와 그다지 가까운 관계도 아니거늘......
yeong	-	영	본의를 짐작하기 어려운 일이군요.
reina	-	레이나	말로는 '유니티 제국의 상징과도 같은 양대 가문의 우호를 증진'하기 위해서라는데...... 실제로 그럴 리는 업지만 말이죠.
range	-	랑즈	그것도 우리 기사들까지 모두 반드시 참석하라니, 확실히 이례적인 일입니다.
eren	-	에렌	하스켈과 우리가 정말 가까워지면 정치적으로 곤란해지는 건 황제 본인일 텐데 말이지.
aron	-	아론	......황제가 전쟁을 준비 중이라는 건 귀족들 사이에서는 이미 공공연한 비밀. 아직 자기가 장악하지 못한 건 하스켈과 핀토스뿐이니, 우리를 따로 설득하고 싶었을지도 모르겠군.
kashyasty	-	카샤스티	그렇다 한들 이번 기회에 하스켈과의 관꼐를 개선할 수 있다면 나쁜 일은 아닐 듯한데...
reina	-	레이나	하지만 친해진다는 게 한쪽만 원한다고 되는게 아니잖아요?
range	-	랑즈	벌써 3년째 서로 완전히 무시하는 상태고, 그쪽은 앞으로도 우리와 교류할 생각이 전혀 없어 보이니까요.
reina	-	레이나	...... 그일에 대한 이야기는 그만두죠.
blank	-	-	비록 핀토스의 기사가 된 지 얼마 되지 않아서 정확히는 모르지만, 카샤스티가 아는 바로는 3년 전 레이나 핀토스가 하스켈 가의 사람들을 초대한 적이 있다.
kashyasty	-	카샤스티	(그리고 그날 이후 핀토스와 하스켈 사이의 교류는 완전히 끊어졌다. 대체 그날 어떤 일이 있었기에......?)
reina	-	레이나	아무튼, 저도 이번 기회에 불편한 관계는 개선했으면 좋겠네요. 하스켈 사람들이 어떻게 나올지에 달렸겠지만.
*	load_script	Scene#0-2
