Script#16				
*	BG	RockMountain		
*	BGM	Script_Tense		
*	SE	ControllerGrawl		
lenien	-	리니안	떨어져요!	
*	BGM	Script_Normal		
*	Glos	Etc	12	1
reina	-	레이나	오, 처음 보는 마법인데 빠르고 효율적이네요.^<color=red>범용 주문</color>이 아닌가 보죠?	
lenien	-	리니안	어…… 뭐어, 그렇죠.	
reina	-	레이나	……?	
blank	-	-	스스로 발견한 주문에 대한 칭찬은 마법사에게 할 수 있는 최고의 찬사다. 그런데도 내가 별다른 반응이 없으니, 이상하게 생각할 만도 했다.	
blank	-	-	하지만 나로서는 여러 가지가 뒤섞인 심정이었다.	
lenien	-	리니안	(전투용 주문을 마지못해 개발할 때만 해도 평생 써먹을 일이 없을 줄 알았는데.)	
lenien	-	리니안	(나는 심오한 이론만 아름답게 여기지. 실용성에 치중한 연구는 자질구레하니까.)	
blank	-	-	그 생각은 좀 수정할 수밖에 없었다.^이 주문들이 없었으면 혼자서 대륙을 횡단하는 건 엄두도 못 냈을 테니.	
blank	-	-	연습용 표적이 아닌 실제 생물에게 쓰는 건 꽤 용기가 필요한 일이었다.^움직이는 목표를 겨냥해 적절한 위력으로 발사하는 것도 까다로웠다.^그러나 처음이 어려웠지 점점 익숙해졌다.	
reina	-	레이나	이 정도 에테르면 충분합니다. 이제 돌아가죠.	
*	FO			
*	BG	LibraryCrystal		
*	BGM	Script_Pintos		
*	FI			
blank	-	-	마법진의 꼭지점에 있는 빈 칸에 새로운 에테르 수정을 끼웠다.^통신기는 빛을 발하며 작동했다.	
blank	-	-	레이나 핀토스는 길게, 짧게를 조합하여 한 글자씩 신호를 입력했다.	
reina	-	레이나	기사들에게는 이 지점 근처에서 만나자고 보내뒀어요.	
reina	-	레이나	신호를 받을 수 있는 상태인지, 받은 후 실제로 여기까지 올지는 또 별개의 이야기지만.	
lenien	-	리니안	그러면 무작정 기다리는 건가요?	
reina	-	레이나	아뇨. 그동안 모나폴리에 있는 핀토스 저택에 다녀오도록 하죠.	
lenien	-	리니안	위험할 것 같은데.	
reina	-	레이나	꼭 확인해야 할 게 있거든요.	
reina	-	레이나	싫다면 따라오지 않아도 좋아요.	
lenien	-	리니안	딱히 상관은 없지만, 그게 뭔지는 궁금한데요.	
reina	-	레이나	……흠, 지금 상황엔 뭐 숨길 의미도 없겠군요.	
reina	-	레이나	모나드.^그게 제대로 있는지 확인해야 해요.	
*	Script	Scene#17		
