P0300,P0300,P0300,P0700,P0300,P0300,P0300,P0300,P0300,P0100,P0100,P0100,P0100,P0100,P0100,P0100
P0300,P0300,P0300,P0300,P0300,P0300,P0300,P0100,P0100,P0100,P0100,P0100,P0100,P0100,P0100,P0100
P0300,P0700,P0300,P0300,P0100,P0100,P0100,P0100,P0100,P0100,P0100,P0100,P0100,P0100,P0100,P0100
P0300,P0300,P0300,P0100,P0100,P0100,P0100,P0100,P0100,P0100,P0100,P0100,P0100,P0100,P0100,P0100
P0300,P0300,P0100,P0100,P0100,P0100,P0100,P0100,P0100,P0100,P0100,P0100,P0100,P0100,P0100,P0100
P0300,P0100,P0100,P0100,P0100,P0100,P0100,P0100,W0200,W0200,W0200,W0200,P0100,P0100,P0100,P0100
P0300,P0100,P0100,P0100,P0100,P0100,P0100,W0200,W0200,W0100,W0200,W0200,P0100,P0100,P0100,P0100
P0100,P0100,P0100,P0100,P0100,P0100,W0200,W0200,W0100,W0100,W0100,W0200,P0100,P0100,P0100,P0100
P0100,P0100,P0100,P0100,P0100,W0200,W0200,W0100,W0100,W0100,W0100,W0200,P0100,P0100,P0100,P0100
P0100,P0100,P0100,P0100,P0100,W0200,W0100,W0100,W0100,W0100,W0100,W0200,P0100,P0100,P0100,P0100
P0100,P0100,P0100,P0100,P0100,W0200,W0100,W0100,W0100,W0100,W0100,W0200,P0100,P0100,P0100,P0300
P0100,P0100,P0100,P0100,P0100,W0200,W0200,W0100,W0200,W0200,W0200,W0200,P0100,P0300,P0300,P0300
P0300,P0100,P0100,P0100,P0100,P0100,W0200,W0200,P0100,P0100,P0100,P0300,P0300,P0300,P0300,P0700
P0700,P0300,P0100,P0100,P0100,P0100,P0100,P0100,P0100,P0100,P0300,P0300,P0300,P0300,P0300,P0300
P0300,P0300,P0100,P0100,P0100,P0100,P0100,P0100,P0100,P0300,P0300,P0300,P0300,P0300,P0300,P0700
P0300,P0300,P0300,P0100,P0100,P0100,P0100,P0100,P0300,P0700,P0300,P0300,P0300,P0300,P0300,P0300
P0700,P0300,P0300,P0100,P0100,P0100,P0100,P0100,P0300,P0300,P0300,P0300,P0300,P0300,P0300,P0300
P0300,P0300,P0300,P0300,P0300,P0100,P0100,P0300,P0700,P0300,P0300,P0300,P0300,P0300,P0300,P0700
P0300,P0300,P0300,P0700,P0300,P0700,P0300,P0300,P0300,P0300,P0300,P0300,P0300,P0300,P0300,P0300
P0300,P0700,P0300,P0300,P0300,P0300,P0700,P0300,P0300,P0700,P0300,P0700,P0300,P0300,P0700,P0300
