blank,-,-,"이 도시 정중앙에 위치한, 가장 높이 솟아있는 탑이다. 많은 사람들이 바쁘게 드나드는 모습이 보였다.",,,,,
sisterna,-,시스터나,(표정들이 썩 좋아 보이지는 않는 걸? 무슨 일이 있나.),,,,,
,,,,,,,,
blank,-,-,시스터나는 주변을 유심히 관찰하다가 중앙탑에서 나온 사람을 발견하고는 쫓아가서 말을 걸었다. 제대로 쉬지도 않고 일했는지 피곤한 기색이 역력했다.,,,,,
sisterna,-,시스터나,(미소)저기요~ 여기서 뭔가 하는 건가요? 다들 바빠 보이셔서.,,,,,
alchemist,-,연금술사,......외지인이신지?,,,,,
sisterna,-,시스터나,"아, 네. 여행 중에 지나가는 길이거든요.",,,,,
alchemist,-,연금술사,연금술사들이 하는 일은 언제나 하나뿐이죠. 신물질 개발 중입니다.,,,,,
sisterna,-,시스터나,아하. 이 도시가 연금술로 유명하다고 들었는데 정말인가 보네요. 그런데 새로운 걸 만드는데 이렇게 많은 사람들이 필요한가요?,,,,,
alchemist,-,연금술사,"후후, 좋은 질문이군요. 이번 목표는 바로 '화약'입니다. 우리 연금술사들의 지식을 총동원해서, 자바에서 쓰이는 것보다 훨씬 우수한 결과물을 만들어낼 작정이죠.",,,,,
alchemist,-,연금술사,"과거 '자비르'님의 불의의 사고로 죽은 이래, 우리 연금술은 위험하고 수상쩍다는 인식이 퍼져 기피 대상이 되고 말았습니다. 하지만 그것도 옛말이 될 겁니다! 황제 폐하께서 직접 명령하신 일이니까요!",,,,,
sisterna,-,시스터나,(호오? 방금 이야기는 그냥 넘어갈 수 없겠는데.),,,,,
alchemist,-,연금술사,"계획대로만 완성되면 광산을 건설하는 데 이용할 수 있고, 그러면 에테르 수정은 물론이고 다른 광석들도 훨씬 쉽게 구할 수 있어요! 이제 우리나라도 소수의 뛰어난 마법사들에게만 의존하지 않고 모두 단합되어 강해지자는 것이 황제 폐하의 뜻입니다.",,,,,
alchemist,-,연금술사,"연금술의 미래가 걸린 일인 만큼 현존하는 연금술의 4대 현자인 '플라멜', '칼리오스', '제르민', '페트루스', 이 네 분이 모두 참여하셔서 정령의 핵이나 오르티늄 등 평소에 구하기 힘든 지극히 귀한 재료도 아끼지 않고 총동원 하고 있죠!",,,,,
blank,-,-,"귀찮아하는 듯하던 연금술사였지만, 그녀의 질문에 갑자기 눈빛이 바뀌더니 이번 일의 중요성에 대해서 열심히 늘어놓기 시작했다. 시스터나는 간신히 따라가면서도 들은 내용을 잊어버리지 않기 위해 신경을 쓰느라 정신이 없었다.",,,,,
