Index,Name,NameInCode,Triggers,ActivePhase,AreaInfo,,,,,,,,,,,,,,,,,,,,,,
1,아스터 기병,soldier01,1,0,0,0,LeftUp
2,아스터 기병,soldier01,1,0,0,0,LeftUp
3,아스터 기병,soldier01,1,0,0,0,LeftUp
4,아스터 기병,soldier01,1,0,0,0,LeftUp
5,아스터 기병,soldier01,1,0,0,0,LeftUp
6,아스터 궁수,asterArcher01,1,0,0,0,LeftUp
7,아스터 궁수,asterArcher01,1,0,0,0,LeftUp
8,아스터 궁수,asterArcher01,1,0,0,0,LeftUp
9,아스터 궁수,asterArcher01,1,0,0,0,LeftUp
10,아스터 궁수,asterArcher01,1,0,0,0,LeftUp
11,아스터 궁수,asterArcher01,1,0,0,0,LeftUp
12,제이선,json,5,0,0,0,LeftUp
13,트리아나,triana,5,0,0,0,LeftUp
