Name,NameInCode,Side,InitPosotionX,InitPositionY,InitDirection,BaseHealth,BasePower,BaseDefense,BaseResistance,BaseDexturity,UnitClass,Element,Celestial,IsObject
아스터 기병,soldier01,Enemy,5,10,RightUp,173,68,5,5,52,Melee,Plant,Sun,false
아스터 기병,soldier01,Enemy,11,10,RightUp,173,68,5,5,52,Melee,Plant,Sun,false
아스터 기병,soldier01,Enemy,6,15,LeftDown,173,68,5,5,52,Melee,Plant,Sun,false
아스터 기병,soldier01,Enemy,10,15,LeftDown,173,68,5,5,52,Melee,Plant,Sun,false
아스터 기병,soldier01,Enemy,8,16,LeftDown,173,68,5,5,52,Melee,Plant,Sun,false
아스터 궁수,soldier01,Enemy,8,8,RightUp,163,64,22,5,44,Melee,Plant,Moon,false
아스터 궁수,soldier01,Enemy,3,12,RightDown,163,64,22,5,44,Melee,Plant,Moon,false
아스터 궁수,soldier01,Enemy,13,12,LeftUp,163,64,22,5,44,Melee,Plant,Moon,false
아스터 궁수,soldier01,Enemy,3,14,RightDown,163,64,22,5,44,Melee,Plant,Moon,false
아스터 궁수,soldier01,Enemy,13,14,LeftUp,163,64,22,5,44,Melee,Plant,Moon,false
아스터 궁수,soldier01,Enemy,8,18,LeftDown,163,64,22,5,44,Melee,Plant,Moon,false
제이선,soldier01,Enemy,8,20,LeftDown,393,97,57,40,63,Melee,Fire,Moon,false
트리아나,triana,Ally,8,11,LeftDown,474,68,74,57,49,Melee,Metal,Earth,false
unselected,unselected,Ally,8,13s,RightUp,0,0,0,0,0,None,None,None,false
