-,-,P0400,P0400,P0400,P0400,P0400,P0400,P0400,P0701,P0400,-,-
-,-,P0701,P0701,P0400,P0400,P0400,P0400,P0400,P0701,P0400,-,-
-,-,M0500,M0500,P0701,M0500,P0400,M0500,M0500,P0400,P0400,-,-
-,-,M0500,M0500,P0400,M0500,P0400,P0400,P0400,P0701,P0400,-,-
-,-,P0400,P0400,P0400,P0400,P0400,P0400,P0400,P0400,P0400,-,-
-,-,P0400,P0701,M0500,P0400,M0500,M0500,P0400,P0400,M0500,-,-
-,-,P0400,P0701,P0400,P0400,P0400,P0400,M0500,P0400,M0500,-,-
-,-,P0400,P0400,P0400,P0400,P0400,P0400,M0500,P0400,M0500,-,-
-,-,M0500,P0701,P0701,P0400,P0400,P0400,P0400,P0400,P0701,-,-
-,-,M0500,M0500,P0400,P0400,P0400,P0400,P0400,M0500,M0500,-,-
P0400,P0400,P0400,P0400,P0400,P0400,P0400,P0400,P0400,P0400,P0400,P0400,P0400
P0400,P0701,P0400,P0400,P0400,P0400,P0400,P0400,P0400,P0400,P0400,P0701,P0400
P0400,P0400,P0400,P0400,P0400,P0400,P0400,P0400,P0400,P0400,P0400,P0701,P0400
P0400,P0400,P0701,P0701,P0400,P0400,P0400,P0400,P0701,P0400,P0400,P0400,P0400
P0702,P0401,P0400,P0400,P0400,P0400,P0400,P0400,P0701,P0400,P0400,P0401,P0702
P0702,P0401,P0400,P0400,P0400,P0400,P0701,P0400,P0400,P0400,P0400,P0401,P0702
P0401,P0401,P0401,P0401,P0401,P0401,P0401,P0401,P0401,P0401,P0401,P0401,P0401
P0401,P0401,P0401,P0401,P0401,P0401,P0401,P0401,P0401,P0702,P0702,P0401,P0401
P0702,P0702,P0401,P0401,P0401,P0401,P0401,P0401,P0401,P0401,P0401,P0401,P0401
P0401,P0401,P0401,P0401,P0702,P0401,P0401,P0401,P0401,P0401,P0401,P0702,P0702
P0401,P0401,P0401,P0401,P0702,P0401,P0401,P0702,P0401,P0401,P0401,P0401,P0401
P0401,P0401,P0401,P0401,P0401,P0401,P0401,P0702,P0401,P0401,P0401,P0401,P0401
