,,,,
blank,-,-,"중앙탑 안을 조금 헤맨 끝에 실험이 진행 중인 넓은 회관을 찾을 수 있었다. 도중에 몇 명을 마주치긴 했지만, 이미 안에 들어온 이상 내부자일 것이라 생각했는지 신경을 쓰지 않는 눈치였다.",
alchemist,-,연금술사,"뭐야, 누가 이렇게 지각을 해?",
assistant,-,조수,네? 분명 연구자들은 아까 다 왔던 걸로 기억하는데......,
reina,-,레이나,저게 그 문제의 물질이로군요.,
sisterna,-,시스터나,"으음, 마법 연구자의 한 사람으로서 이런 짓을 해도 되는지에 대한 고뇌도 없지는 않지만...... 물리학에는 관성의 법칙이라는 게 있죠. 한번 일을 시작했으면 끝장을 보는 수밖에!",
yeong,-,영,(위협)비켜.,
,,,,
blank,-,-,안에 있던 사람들이 상황을 미처 파악하지 못한 틈에 영이 앞에 있던 책상과 사람을 한꺼번에 가르며 목표물을 향해 일직선으로 길을 내기 시작했다.,
assisatant,-,조수,크억!,
luvericha,-,루베리카,(당황)......!,
alchemist,-,연금술사,현자님들을 피신시켜라!,
yeong,-,영,"......저들이 연금술의 4대 현자, 인가.",
alchemist,-,연금술사,침입자다! 표본들을 지켜야 한다! 막아!,
reina,-,레이나,속전속결. 최대한 빠르게 없애고 빠져나가는 거예요!,
eren,-,에렌,알고 있다고!,
