*	bgm	Script_Tense
noel	-	???	작전 개시. 황명에 따라 반역자들을 섬멸한다.
npc01	-	병사들	예!
kashyasti	-	카샤스티	(당황)그 제복은...... 황제 폐하 직속의 특수기관, 아스터로군요. 그런데 여기는 무슨 일이죠?
bianca	-	???	아무것도 모르는 척 시치미 떼 봤자 소용없어. 반역자! 이미 다 알고 왔으니까!
elderpintos	-	무엄하다! 썩 물러가지 못할까!
lucius	-	루키어스	(미소)훗. 그런가. 드디어 조사가 끌난 거였어.
reina	-	레이나	(놀람)......설마! 말도 안 돼. 다른 사람도 아니고, 루키어스 하스켈 당신이 황제와 손을 잡았다고?
lucius	-	루키어스	화합을 도모하다니 모슨 의미인가 했는데, 굳이 우리까지 직접 불러낸 건 마지막까지 방심시키기 위해서였나? 확실히 철저하군.
luvericha	-	루베리카	(미소)그런 거였나요? 그렇다면 뒤는 제국의 별들에게 맡기고 퇴장하도록 하죠. 다음 주 제국 신문은 꽤나 볼만하겠는데요.
lucius	-	루키어스	(위협)아니면...... 위헝한 상대이니 한손 거들어주는 것도 나쁘지 않겠지.
blank	-	-	그 순간, 루키어스의 시야에 무언가 반짝이는 것이 포착되었다. 그를 향해 겨누어진 총구였다. 순간적으로 반응해 날아드는 총알을 쳐냈다.
lucius	-	루키어스	(찡그림)잘못 쏜 건가? 유니티 유니티 제국에서 선발한 정예 중의 정예라는 아스터 특수작전요원치고는 실력이 형편없는데.
grenev	-	???	에~이, 방심하는 사이에 제일 위험한 것부터 처리할까 했더니만. 쫌 한다?
sepia	-	???	알파 계획 실패. 모의 훈련 내용에 따라 베타 계획으로 변경하겠습니다.
grenev	-	???	자자. 다들 내 잘못 아닌 거 봤지? 분명 맞게 쐈는데 쟤가 말도 안 되는 거라고.
darkenir	-	???	(찡그림)알고 있으니까 시끄럽게 떠들지 말거라. 집중에 방해된단 말이다.
eins	-	???	(위협)차라리 잘 됐지. 얼마나 거대한 상대인데 너한테 허망하게 죽어버린다면 내가 다 슬펐을 게다.
noel	-	???	아스터 특수작전과장 노일이다. 이 시간부로 핀토스 가 및 하스텔 가 소속 전원에 대해, 모나드 님의 유해를 무단으로 탈취하고 이를 이용해 루시안 하스켈을 대상으로 위험한 인체실험을 행하며 역모를 꾀한 죄를 물어 처단하라는 황명을 집행한다.
reina	-	레이나	(놀람)(뭐라고?! 제정신인가? 아무리 그래도 하스켈과 우리를 한꺼번에 없애 버리겠다니!)
eren	-	에렌	(미소)호오, 다양한 가설을 세웠지만 이건 정말 예상치 못한 전개인데, 완전 재미있잖아?
luvericha	-	루베리카	(당황)뭐라고요? 갑자기 우리는 왜......! 게다가 루시안 오빠가 인체실험이라니, 모슨 터무니없는 소릴!
arcadia	-	???	유언은 잘 들었습니다. 시간을 끌 이유는 없으니 시작하도록 하죠.
yeong	-	영	위험합니다. 일단 흩어지죠!
