blank,-,-,"레이나, 시스터나, 영, 에렌, 그리고 루베리카까지 다섯 사람은 아스터 요원들이 떠난 자리에서 잠시 쉬었다가, 레이나의 안내를 따라 길이 나 있지 않은 곳을 몇 번쯤 지난 끝에 기록 보관소에 도달할 수 있었다.",
blank,-,-,레이나가 다시 한 번 정해진 대로 움직이자 기록 보관소의 모습이 땅을 뒤흔들며 나타났다.,
,,,,
blank,-,-,그리고 땅의 흔들림이 멎는 것은 일행 중 한 명이 쓰러지는 것과 동시에 벌어진 일이었다.,
sisterna,-,시스터나,"(놀람)이 사람, 쓰러졌어요!",
reina,-,레이나,(놀람)영! 괜찮아요? 정신 차려요!!,
sisterna,-,시스터나,(당황)상처가 심각한데다 방금 전까지 계속 움직였으니 출혈이...... 이대로 두면 위험할 것 같아요.,
reina,-,레이나,(기본)......에렌 님. 신성력을 쓸 수 있다고 하셨죠?,
luvericha,-,루베리카,(당황)(어? 그럼 아이를 구해줬을 때는 왜 그런 거지......?),
eren,-,에렌,싫어.,
sisterna,-,시스터나,(놀람)엥?!,
eren,-,에렌,그 다음에 나올 말은 뻔하잖아? 미리 대답한 거야. 싫다고.,
reina,-,레이나,(당황)어째서......,
eren,-,에렌,내가 실제로 누군가를 치료하는 걸 본 적 있어?,
reina,-,레이나,"그, 그거야 그동안 특별히 다친 사람이 없었으니까.",
eren,-,에렌,아니. 난 다시는 그것을 인간을 위해 쓰지 않겠다고 맹세했기 때문이다.,
sisterna,-,시스터나,(당황)무슨 그런 맹세를 다......,
luvericha,-,루베리카,......,
blank,-,-,레이나는 뻔히 할 수 있는 일인데도 한시가 급한 상황에서 이해할 수 없는 이유를 대며 거절하는 에렌에게 짜증이 나기 시작했다.,
reina,-,레이나,"(찡그림)아니, 에렌 님도 영이랑 모르는 사이도 아니고, 지금 목숨이 위태로운데 그런 게 중요해요?",
eren,-,에렌,(분노)나한테 함부로 명령하지 마. 네가 나에 대해서 얼마나 잘 안다는 거지? 내가 왜 그런 생각을 했는지 방금 말을 꺼내기 전에 한순간이라도 궁금해해보긴 했나?,
reina,-,레이나,......,
eren,-,에렌,"젠장, 너도 똑같군. 단지 자비를 구걸하며 내 힘에 빌붙겠다는 거 아냐?",
blank,-,-,"드물게도 분노를 감추지 못하던 그는, 돌연 비릿한 미소를 지으며 루베리카를 가리켰다.",
eren,-,에렌,(미소)(어디까지 가능한지 한번 시험해 보자고. 재미있겠네.),
eren,-,에렌,"아아~ 그래. 쟤한테 부탁해보지 그래? 어디까지 할 수 있는지는 모르지만, 당장 숨을 붙여놓은 정도는 가능할 거라고 생각하는데.",
luvericha,-,루베리카,......내 가장 소중한 사람을 빼앗은 당신들을 도와줄 이유가 없어.,
reina,-,레이나,......,
eren,-,에렌,"(기본)(뭐, 예산한 대로인가. 그럴 줄 알았지.)",
luvericha,-,루베리카,"하지만...... 레이나 핀토스 당신이 아니라 에렌이 부탁한다면, 내가 할 수 있는 범위 내에서, 해 보겠어. 연회장에서, 그리고 여기까지 오면서 위험한 사람들을 만났을 때, 도움을 받은 건 사실이니까.",
sisterna,-,시스터나,......,
eren,-,에렌,"(당황)(......설마 했는데, 그냥 제정신이 아니군.)",
eren,-,에렌,"(기본)(어쨌든 이 시점에서 이용당해 주겠다니 다행이군, 레이나와의 관걔가 완전히 틀어져버리면 이 사건을 조사하는 게 꽤나 어려워질 테지. 저쪽이 지금 죽어버리면 내 입장이 난처하다고.)",
eren,-,에렌,그렇게까지 말한다면 부탁해 보도록 할까. 여태 지켜온 신조를 깨지 않을 수 있도록 도와주겠어?,
luvericha,-,루베리카,......다들 나가.,
sisterna,-,시스터나,에......?,
blank,-,-,"루베리카는 마지막 선언을 하기 전에, 잠시 눈을 감고 곁에 없는 누군가에게 양해를 구했다.",
luvericha,-,루베리카,(......오빠. 분명 오빠라면 이렇게 하라고 했을 거야. 그렇지?),
luvericha,-,루베리카,"도와줄 테니 나가 있어요,. 보여주고 싶지 ㅇ낳으니까.",
